,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,Oasis,Ashra,https://open.spotify.com/track/3KyuU54Ui0dTtCI2Xkfkrh?si=423d034577b348bc,https://music.apple.com/us/song/oasis/714509572
0:03:08,Birds,Electrelane,https://open.spotify.com/track/1PVRBEyzTWkEuDRpQsyce4?si=a256b5c786574e53,https://music.apple.com/us/song/birds/7059380
0:06:22,Your Dragging Feet,Polyrock,https://open.spotify.com/track/1X1NyUTbZXYGvJFgpmt3rW?si=5fc5bf11de674564,https://music.apple.com/us/song/your-dragging-feet/933400991
0:11:25,Ballade,Piero Piccioni,https://open.spotify.com/track/69oDHCpVOoUUd9RfyyA42c?si=dbd97e46ce254caa,https://music.apple.com/us/song/ballade/349912440
0:13:36,Afro Cosmic,Susso Seki Singh,https://open.spotify.com/track/76fEzXM3yWCKuKNZLJdmDF?si=db4479377bfc4309,https://music.apple.com/us/song/afro-cosmic/1377083136
0:23:48,300 dreams,After,https://open.spotify.com/track/3gkVuPHTyp4rHH5YrczzOL?si=9147c1f3f1e54334,https://music.apple.com/us/song/300-dreams/1797401698
0:26:34,"Tangled Up in Blue - Take 3, Remake 3",Bob Dylan,https://open.spotify.com/track/31cHZD4RFmM9NyOWdDXxdR?si=70f6c84dc5884ae8,https://music.apple.com/us/song/tangled-up-in-blue-take-3-remake-3/1440059049
0:32:10,Shiver,trickpony,https://open.spotify.com/track/4q0v1cvU3rSTKwL4Z4MQWT?si=3eddcd7dfa8f49d3,https://music.apple.com/us/song/shiver/1749215847
0:36:09,Silver Soul,Beach House,https://open.spotify.com/track/4Rlo7NPApLjjoEefxzDpVG?si=935fd93ecf1f4825,https://music.apple.com/us/song/silver-soul/349535422
0:41:06,Only over You,Fleetwood Mac,https://open.spotify.com/track/6zAwSWQywmeEFP11tK7t5W?si=32582477608d4185,https://music.apple.com/us/song/only-over-you/1111749676
0:45:06,Tropiq,I:Cube,https://open.spotify.com/track/28tb3ZTQiPXPO5w1kiqCVm?si=70585130fd814558,https://music.apple.com/us/song/tropiq/320458534
0:49:47,Confessions,BADBADNOTGOOD,https://open.spotify.com/track/4LQtw1NWaOQU5U3GNGu1u9?si=008299a451e242c9,https://music.apple.com/us/song/confessions/1608120028
0:54:04,Nangs,Tame Impala,https://open.spotify.com/track/1cCbsojaA6GIT7Y3zuMJ1q?si=6ed5054ec7714d30,https://music.apple.com/us/song/nangs/1440838282
0:55:20,Lil Thing,Knox Fortune,https://open.spotify.com/track/4At1qbqCOJ9WFbvpWTOOY4?si=f5c35dbf360a4534,https://music.apple.com/us/song/lil-thing/1258343648
0:58:10,Camino Del Sol,Antena,https://open.spotify.com/track/4UFm6Kib5Jxzw9FL0F6x0q?si=9fc9a82d9cab456c,https://music.apple.com/us/album/camino-del-sol/1451924726
1:01:21,I Come With Mud,Men I Trust,https://open.spotify.com/track/6U13ePayjjfmxzXHGGYbv5?si=2767b6bf58a24e4b,https://music.apple.com/us/song/i-come-with-mud/1800499450
